Month,Year,Cases
Jan,1979,25
Feb,1979,25
Mar,1979,20
Apr,1979,30
May,1979,18
Jun,1979,18
Jul,1979,15
Aug,1979,15
Sep,1979,10
Oct,1979,20
Nov,1979,35
Dec,1979,25
Jan,1980,25
Feb,1980,20
Mar,1980,20
Apr,1980,45
May,1980,55
Jun,1980,80
Jul,1980,55
Aug,1980,30
Sep,1980,25
Oct,1980,25
Nov,1980,20
Dec,1980,15
Jan,1981,20
Feb,1981,24
Mar,1981,20
Apr,1981,25
May,1981,255
Jun,1981,210
Jul,1981,70
Aug,1981,52
Sep,1981,30
Oct,1981,45
Nov,1981,50
Dec,1981,20
Jan,1982,30
Feb,1982,34
Mar,1982,40
Apr,1982,30
May,1982,48
Jun,1982,185
Jul,1982,70
Aug,1982,60
Sep,1982,65
Oct,1982,70
Nov,1982,54
Dec,1982,25
Jan,1983,95
Feb,1983,100
Mar,1983,70
Apr,1983,60
May,1983,55
Jun,1983,60
Jul,1983,52
Aug,1983,52
Sep,1983,48
Oct,1983,45
Nov,1983,40
Dec,1983,48
Jan,1984,70
Feb,1984,90
Mar,1984,65
Apr,1984,45
May,1984,90
Jun,1984,105
Jul,1984,92
Aug,1984,50
Sep,1984,60
Oct,1984,30
Nov,1984,30
Dec,1984,65
Jan,1985,65
Feb,1985,115
Mar,1985,35
Apr,1985,145
May,1985,305
Jun,1985,70
Jul,1985,68
Aug,1985,48
Sep,1985,48
Oct,1985,40
Nov,1985,30
Dec,1985,54
Jan,1986,40
Feb,1986,48
Mar,1986,50
Apr,1986,115
May,1986,130
Jun,1986,98
Jul,1986,105
Aug,1986,75
Sep,1986,50
Oct,1986,48
Nov,1986,52
Dec,1986,20
Jan,1987,48
Feb,1987,70
Mar,1987,95
Apr,1987,98
May,1987,90
Jun,1987,135
Jul,1987,85
Aug,1987,215
Sep,1987,65
Oct,1987,45
Nov,1987,55
Dec,1987,90
Jan,1988,105
Feb,1988,80
Mar,1988,75
Apr,1988,55
May,1988,90
Jun,1988,150
Jul,1988,315
Aug,1988,80
Sep,1988,78
Oct,1988,72
Nov,1988,68
Dec,1988,64
Jan,1989,74
Feb,1989,54
Mar,1989,45
Apr,1989,80
May,1989,30
Jun,1989,85
Jul,1989,140
Aug,1989,95
Sep,1989,60
Oct,1989,52
Nov,1989,45
Dec,1989,40
Jan,1990,55
Feb,1990,150
Mar,1990,80
Apr,1990,225
May,1990,385
Jun,1990,200
Jul,1990,80
Aug,1990,60
Sep,1990,55
Oct,1990,35
Nov,1990,25
Dec,1990,40
Jan,1991,65
Feb,1991,55
Mar,1991,90
Apr,1991,70
May,1991,140
Jun,1991,245
Jul,1991,100
Aug,1991,65
Sep,1991,65
Oct,1991,45
Nov,1991,65
Dec,1991,70
Jan,1992,75
Feb,1992,70
Mar,1992,45
Apr,1992,35
May,1992,150
Jun,1992,205
Jul,1992,165
Aug,1992,108
Sep,1992,80
Oct,1992,70
Nov,1992,40
Dec,1992,35
Jan,1993,70
Feb,1993,85
Mar,1993,110
Apr,1993,95
May,1993,75
Jun,1993,65
Jul,1993,110
Aug,1993,120
Sep,1993,90
Oct,1993,85
Nov,1993,75
Dec,1993,50
Jan,1994,55
Feb,1994,70
Mar,1994,85
Apr,1994,140
May,1994,185
Jun,1994,485
Jul,1994,275
Aug,1994,130
Sep,1994,100
Oct,1994,55
Nov,1994,40
Dec,1994,90
Jan,1995,190
Feb,1995,180
Mar,1995,80
Apr,1995,45
May,1995,65
Jun,1995,75
Jul,1995,105
Aug,1995,90
Sep,1995,55
Oct,1995,30
Nov,1995,50
Dec,1995,90
Jan,1996,80
Feb,1996,70
Mar,1996,73
Apr,1996,102
May,1996,175
Jun,1996,120
Jul,1996,110
Aug,1996,70
Sep,1996,45
Oct,1996,30
Nov,1996,25
Dec,1996,28
Jan,1997,36
Feb,1997,60
Mar,1997,48
Apr,1997,35
May,1997,68
Jun,1997,300
Jul,1997,110
Aug,1997,55
Sep,1997,35
Oct,1997,35
Nov,1997,55
Dec,1997,175
Jan,1998,415
Feb,1998,695
Mar,1998,410
Apr,1998,130
May,1998,155
Jun,1998,160
Jul,1998,170
Aug,1998,210
Sep,1998,130
Oct,1998,170
Nov,1998,180
Dec,1998,145
Jan,1999,245
Feb,1999,200
Mar,1999,200
Apr,1999,100
May,1999,370
Jun,1999,370
Jul,1999,530
Aug,1999,120
Sep,1999,95
Oct,1999,110
Nov,1999,110
Dec,1999,120
Jan,2000,140
Feb,2000,170
Mar,2000,200
Apr,2000,115
May,2000,160
Jun,2000,180
Jul,2000,150
Aug,2000,95
Sep,2000,110
Oct,2000,100
Nov,2000,105
Dec,2000,90
Jan,2001,265
Feb,2001,235
Mar,2001,225
Apr,2001,105
May,2001,105
Jun,2001,230
Jul,2001,240
Aug,2001,250
Sep,2001,165
Oct,2001,135
Nov,2001,225
Dec,2001,50
Jan,2002,210
Feb,2002,140
Mar,2002,150
Apr,2002,145
May,2002,250
Jun,2002,390
Jul,2002,600
Aug,2002,325
Sep,2002,190
Oct,2002,110
Nov,2002,170
Dec,2002,100
Jan,2003,330
Feb,2003,330
Mar,2003,430
Apr,2003,130
May,2003,190
Jun,2003,210
Jul,2003,240
Aug,2003,170
Sep,2003,130
Oct,2003,165
Nov,2003,110
Dec,2003,130
Jan,2004,210
Feb,2004,205
Mar,2004,205
Apr,2004,105
May,2004,190
Jun,2004,180
Jul,2004,165
Aug,2004,95
Sep,2004,95
Oct,2004,70
